"","Var1","Var2","spDist","gDist","fDist","m.GeogDist","EnvDist","Area.mx","Shelf"
"1","AUS","AUS",0,0,0,0,0,0,1
"2","NWG","AUS",0.787164906580016,0.555066079295154,0.252336448598131,0.0215428859566945,0.916438161096276,0.785451850905227,1
"3","EMN","AUS",0.818096135721018,0.62303664921466,0.382352941176471,0.168645809926583,1,0.726710769455916,0
"4","MAU","AUS",0.829292929292929,0.624678663239075,0.359223300970874,0.0711892932429028,0.70087546630238,0.723145925679345,0
"5","SUL","AUS",0.880424300867888,0.708235294117647,0.425925925925926,0.206394206160655,0.628352013220508,0.732289404715405,0
"6","PHI","AUS",0.914285714285714,0.735042735042735,0.47008547008547,0.438572407758483,0.600862721868839,0.741864704954813,0
"7","LSU","AUS",0.8310546875,0.615189873417721,0.377358490566038,0.102569455802771,0.853853759287536,0.723740581608539,0
"8","BOR","AUS",0.915515840779854,0.779270633397313,0.5,0.34567070978734,0.805772922418772,0.77856023184367,0
"9","JAV","AUS",0.898836168307968,0.756646216768916,0.479674796747967,0.265427288440791,0.896512243353712,0.728323657721406,0
"10","SUM","AUS",0.918833727344366,0.775047258979206,0.515873015873016,0.444039146053657,0.949078438874116,0.756379668744699,0
"11","SEA","AUS",0.932679738562092,0.7996632996633,0.527131782945736,0.604815201798889,0.809022013278952,1,0
"12","AUS","NWG",0.787164906580016,0.555066079295154,0.252336448598131,0.0215428859566945,0.916438161096276,0.785451850905227,1
"13","NWG","NWG",0,0,0,0,0,0,1
"14","EMN","NWG",0.814708691499522,0.570621468926554,0.3125,0.0106527055379728,0.10088142014798,0.0785141640446497,0
"15","MAU","NWG",0.740659340659341,0.494152046783626,0.252631578947368,0.0163634189906397,0.280223777834999,0.0749493202680796,0
"16","SUL","NWG",0.852,0.643589743589744,0.362745098039216,0.131511824190449,0.309525618833615,0.0840927993041392,0
"17","PHI","NWG",0.899749373433584,0.697038724373576,0.428571428571429,0.187925808529057,0.538950791810267,0.0936680995435475,0
"18","LSU","NWG",0.816,0.575675675675676,0.343137254901961,0.173025726419533,0.372990312580232,0.0755439761972732,0
"19","BOR","NWG",0.903814262023217,0.747967479674797,0.461538461538462,0.275245718641278,0.141418678680323,0.130363626432405,0
"20","JAV","NWG",0.887568555758684,0.727272727272727,0.440677966101695,0.377321297242818,0.0244946061604338,0.0801270523101404,0
"21","SUM","NWG",0.908433734939759,0.749003984063745,0.479338842975207,0.521526187626241,0.330564655869914,0.108183063333433,0
"22","SEA","NWG",0.927152317880795,0.775618374558304,0.491935483870968,0.606632998942492,0.512661814052949,0.351803394588734,0
"23","AUS","EMN",0.818096135721018,0.62303664921466,0.382352941176471,0.168645809926583,1,0.726710769455916,0
"24","NWG","EMN",0.814708691499522,0.570621468926554,0.3125,0.0106527055379728,0.10088142014798,0.0785141640446497,0
"25","EMN","EMN",0,0,0,0,0,0,0
"26","MAU","EMN",0.784182305630027,0.441295546558704,0.177215189873418,0.30547375816387,0.330252842985212,0.016208238818768,0
"27","SUL","EMN",0.837595907928389,0.533088235294118,0.1875,0.518301756215446,0.379951833903333,0.0253517178548277,0
"28","PHI","EMN",0.892086330935252,0.623052959501558,0.307692307692308,0.552842137561278,0.574042363741066,0.034927018094236,0
"29","LSU","EMN",0.827543424317618,0.478927203065134,0.207317073170732,0.500952774164591,0.361733675258691,0.0168028947479617,0
"30","BOR","EMN",0.898270600203459,0.693548387096774,0.354166666666667,0.695710425767383,0.199441374313936,0.071622544983093,0
"31","JAV","EMN",0.879725085910653,0.668604651162791,0.346938775510204,0.786851945316952,0.121838336104199,0.0213859708608289,0
"32","SUM","EMN",0.904109589041096,0.689473684210526,0.363636363636364,0.94373522559425,0.291723316450765,0.0494419818841214,0
"33","SEA","EMN",0.925291828793774,0.746102449888641,0.413461538461538,1,0.509871336639674,0.293062313139423,0
"34","AUS","MAU",0.829292929292929,0.624678663239075,0.359223300970874,0.0711892932429028,0.70087546630238,0.723145925679345,0
"35","NWG","MAU",0.740659340659341,0.494152046783626,0.252631578947368,0.0163634189906397,0.280223777834999,0.0749493202680796,0
"36","EMN","MAU",0.784182305630027,0.441295546558704,0.177215189873418,0.30547375816387,0.330252842985212,0.016208238818768,0
"37","MAU","MAU",0,0,0,0,0,0,0
"38","SUL","MAU",0.714060031595577,0.466165413533835,0.182926829268293,0.0220001130543437,0.0910790208110346,0.0217868740782575,0
"39","PHI","MAU",0.840801886792453,0.577287066246057,0.319148936170213,0.106092525540083,0.269033048916564,0.0313621743176658,0
"40","LSU","MAU",0.684210526315789,0.420233463035019,0.202380952380952,0.00458178774107349,0.218377965926477,0.0132380509713916,0
"41","BOR","MAU",0.837647058823529,0.658536585365854,0.363636363636364,0.150504672202721,0.139251899858237,0.0680577012065229,0
"42","JAV","MAU",0.801899592944369,0.622418879056047,0.34,0.25291965905729,0.266638428485001,0.0178211270842587,0
"43","SUM","MAU",0.848314606741573,0.655172413793103,0.372549019607843,0.386045933113096,0.272342517475097,0.0458771381075513,0
"44","SEA","MAU",0.894239036973345,0.714606741573034,0.420560747663551,0.49912547395104,0.303384949302658,0.289497469362852,0
"45","AUS","SUL",0.880424300867888,0.708235294117647,0.425925925925926,0.206394206160655,0.628352013220508,0.716824228158247,0
"46","NWG","SUL",0.852,0.643589743589744,0.362745098039216,0.131511824190449,0.309525618833615,0.0686276227469806,0
"47","EMN","SUL",0.837595907928389,0.533088235294118,0.1875,0.518301756215446,0.379951833903333,0.00988654129766909,0
"48","MAU","SUL",0.714060031595577,0.466165413533835,0.182926829268293,0.0220001130543437,0.0910790208110346,0.00632169752109895,0
"49","SUL","SUL",0,0,0,0,0,0,0
"50","PHI","SUL",0.764115432873275,0.429054054054054,0.193181818181818,0.0422606078788467,0.287370674285432,0.0250404767965669,0
"51","LSU","SUL",0.70516717325228,0.409090909090909,0.123456790123457,0.0248266662869962,0.306517861495542,0.00691635345029264,0
"52","BOR","SUL",0.765586034912718,0.53314121037464,0.265957446808511,0.0259503172783926,0.180855483489394,0.0617360036854239,0
"53","JAV","SUL",0.732091690544413,0.510835913312694,0.242105263157895,0.102487077662338,0.291517183851166,0.0114994295631598,0
"54","SUM","SUL",0.77299880525687,0.524079320113314,0.260416666666667,0.247877923308645,0.362911528955594,0.0395554405864524,0
"55","SEA","SUL",0.841726618705036,0.611374407582938,0.316831683168317,0.366658008970161,0.372636706897209,0.283175771841753,0
"56","AUS","PHI",0.914285714285714,0.735042735042735,0.47008547008547,0.438572407758483,0.600862721868839,0.741864704954813,0
"57","NWG","PHI",0.899749373433584,0.697038724373576,0.428571428571429,0.187925808529057,0.538950791810267,0.0755439761972732,0
"58","EMN","PHI",0.892086330935252,0.623052959501558,0.307692307692308,0.552842137561278,0.574042363741066,0.071622544983093,0
"59","MAU","PHI",0.840801886792453,0.577287066246057,0.319148936170213,0.106092525540083,0.269033048916564,0.0178211270842587,0
"60","SUL","PHI",0.764115432873275,0.429054054054054,0.193181818181818,0.0422606078788467,0.287370674285432,0.055020617143611,0
"61","PHI","PHI",0,0,0,0,0,0,0
"62","LSU","PHI",0.787410926365796,0.471947194719472,0.211111111111111,0.331843777185974,0.286189688758077,0.00691635345029264,0
"63","BOR","PHI",0.726373626373626,0.427350427350427,0.150537634408602,0.0113741422536138,0.402370618188164,0.0617360036854239,0
"64","JAV","PHI",0.746730083234245,0.431137724550898,0.127659574468085,0.318698873977123,0.528397457438781,0.0114994295631598,0
"65","SUM","PHI",0.774590163934426,0.463215258855586,0.166666666666667,0.23665838999002,0.395897354226665,0.0395554405864524,0
"66","SEA","PHI",0.794871794871795,0.516509433962264,0.191919191919192,0.21511275211574,0.208736239205481,0.283175771841753,0
"67","AUS","LSU",0.8310546875,0.615189873417721,0.377358490566038,0.102569455802771,0.853853759287536,0.723740581608539,0
"68","NWG","LSU",0.816,0.575675675675676,0.343137254901961,0.173025726419533,0.372990312580232,0.0755439761972732,0
"69","EMN","LSU",0.827543424317618,0.478927203065134,0.207317073170732,0.500952774164591,0.361733675258691,0.0168028947479617,0
"70","MAU","LSU",0.684210526315789,0.420233463035019,0.202380952380952,0.00458178774107349,0.218377965926477,0.0132380509713916,0
"71","SUL","LSU",0.70516717325228,0.409090909090909,0.123456790123457,0.0248266662869962,0.306517861495542,0.0223815300074512,0
"72","PHI","LSU",0.787410926365796,0.471947194719472,0.211111111111111,0.331843777185974,0.286189688758077,0.0319568302468595,0
"73","LSU","LSU",0,0,0,0,0,0,0
"74","BOR","LSU",0.777115613825983,0.559659090909091,0.28125,0.104800958300439,0.268973414844126,0.0686523571357166,0
"75","JAV","LSU",0.672910662824208,0.484177215189873,0.221052631578947,0.00565971142432371,0.372329914973852,0.0184157830134524,0
"76","SUM","LSU",0.783752860411899,0.570247933884298,0.275510204081633,0.238812346642871,0.111750655568249,0.046471794036745,0
"77","SEA","LSU",0.8416447944007,0.619385342789598,0.313725490196078,0.370682629325475,0.153888732943351,0.290092125292046,0
"78","AUS","BOR",0.915515840779854,0.779270633397313,0.5,0.34567070978734,0.805772922418772,0.77856023184367,0
"79","NWG","BOR",0.903814262023217,0.747967479674797,0.461538461538462,0.275245718641278,0.141418678680323,0.0801270523101404,0
"80","EMN","BOR",0.898270600203459,0.693548387096774,0.354166666666667,0.695710425767383,0.199441374313936,0.0494419818841214,0
"81","MAU","BOR",0.837647058823529,0.658536585365854,0.363636363636364,0.150504672202721,0.139251899858237,0.289497469362852,0
"82","SUL","BOR",0.765586034912718,0.53314121037464,0.265957446808511,0.0259503172783926,0.180855483489394,0.0154651765571586,0
"83","PHI","BOR",0.726373626373626,0.427350427350427,0.150537634408602,0.0113741422536138,0.402370618188164,0.0250404767965669,0
"84","LSU","BOR",0.777115613825983,0.559659090909091,0.28125,0.104800958300439,0.268973414844126,0.00691635345029264,0
"85","BOR","BOR",0,0,0,0,0,0,1
"86","JAV","BOR",0.584224598930481,0.314540059347181,0.144329896907216,0.057431222053905,0.128604553746355,0.0114994295631598,1
"87","SUM","BOR",0.383580080753701,0.185074626865672,0.105263157894737,0.0139533031535743,0.26519669129745,0.0395554405864524,1
"88","SEA","BOR",0.545273631840796,0.29620253164557,0.151515151515152,0.105080642903581,0.395788558698885,0.283175771841753,1
"89","AUS","JAV",0.898836168307968,0.756646216768916,0.479674796747967,0.265427288440791,0.896512243353712,0.728323657721406,0
"90","NWG","JAV",0.887568555758684,0.727272727272727,0.440677966101695,0.377321297242818,0.0244946061604338,0.0801270523101404,0
"91","EMN","JAV",0.879725085910653,0.668604651162791,0.346938775510204,0.786851945316952,0.121838336104199,0.0213859708608289,0
"92","MAU","JAV",0.801899592944369,0.622418879056047,0.34,0.25291965905729,0.266638428485001,0.0178211270842587,0
"93","SUL","JAV",0.732091690544413,0.510835913312694,0.242105263157895,0.102487077662338,0.291517183851166,0.0269646061203184,0
"94","PHI","JAV",0.746730083234245,0.431137724550898,0.127659574468085,0.318698873977123,0.528397457438781,0.0365399063597266,0
"95","LSU","JAV",0.672910662824208,0.484177215189873,0.221052631578947,0.00565971142432371,0.372329914973852,0.0184157830134524,0
"96","BOR","JAV",0.584224598930481,0.314540059347181,0.144329896907216,0.057431222053905,0.128604553746355,0.0732354332485837,1
"97","JAV","JAV",0,0,0,0,0,0,1
"98","SUM","JAV",0.514905149051491,0.26865671641791,0.103092783505155,0.00565481168578362,0.335784436804805,0.0510548701496121,1
"99","SEA","JAV",0.669607843137255,0.367088607594937,0.148514851485149,0.172405986272102,0.510079850029057,0.294675201404913,1
"100","AUS","SUM",0.918833727344366,0.775047258979206,0.515873015873016,0.444039146053657,0.949078438874116,0.756379668744699,0
"101","NWG","SUM",0.908433734939759,0.749003984063745,0.479338842975207,0.521526187626241,0.330564655869914,0.351803394588734,0
"102","EMN","SUM",0.904109589041096,0.689473684210526,0.363636363636364,0.94373522559425,0.291723316450765,0.00988654129766909,0
"103","MAU","SUM",0.848314606741573,0.655172413793103,0.372549019607843,0.386045933113096,0.272342517475097,0.00632169752109895,0
"104","SUL","SUM",0.77299880525687,0.524079320113314,0.260416666666667,0.247877923308645,0.362911528955594,0.0154651765571586,0
"105","PHI","SUM",0.774590163934426,0.463215258855586,0.166666666666667,0.23665838999002,0.395897354226665,0.0250404767965669,0
"106","LSU","SUM",0.783752860411899,0.570247933884298,0.275510204081633,0.238812346642871,0.111750655568249,0.00691635345029264,0
"107","BOR","SUM",0.383580080753701,0.185074626865672,0.105263157894737,0.0139533031535743,0.26519669129745,0.0617360036854239,1
"108","JAV","SUM",0.514905149051491,0.26865671641791,0.103092783505155,0.00565481168578362,0.335784436804805,0.0114994295631598,1
"109","SUM","SUM",0,0,0,0,0,0,1
"110","SEA","SUM",0.491951710261569,0.256997455470738,0.0721649484536082,0.00251277663305265,0.253172709786304,0.283175771841753,1
"111","AUS","SEA",0.932679738562092,0.7996632996633,0.527131782945736,0.604815201798889,0.809022013278952,1,0
"112","NWG","SEA",0.927152317880795,0.775618374558304,0.491935483870968,0.606632998942492,0.512661814052949,0.351803394588734,0
"113","EMN","SEA",0.925291828793774,0.746102449888641,0.413461538461538,1,0.509871336639674,0.293062313139423,0
"114","MAU","SEA",0.894239036973345,0.714606741573034,0.420560747663551,0.49912547395104,0.303384949302658,0.289497469362852,0
"115","SUL","SEA",0.841726618705036,0.611374407582938,0.316831683168317,0.366658008970161,0.372636706897209,0.298640948398912,0
"116","PHI","SEA",0.794871794871795,0.516509433962264,0.191919191919192,0.21511275211574,0.208736239205481,0.30821624863832,0
"117","LSU","SEA",0.8416447944007,0.619385342789598,0.313725490196078,0.370682629325475,0.153888732943351,0.290092125292046,0
"118","BOR","SEA",0.545273631840796,0.29620253164557,0.151515151515152,0.105080642903581,0.395788558698885,0.344911775527177,1
"119","JAV","SEA",0.669607843137255,0.367088607594937,0.148514851485149,0.172405986272102,0.510079850029057,0.294675201404913,1
"120","SUM","SEA",0.491951710261569,0.256997455470738,0.0721649484536082,0.00251277663305265,0.253172709786304,0.322731212428206,1
"121","SEA","SEA",0,0,0,0,0,0,1
