,ACANTHIZIDAE,ACCIPITRIDAE,ACROCEPHALIDAE,AEGITHALIDAE,AEGITHINIDAE,AEGOTHELIDAE,ALAUDIDAE,ALCEDINIDAE,ANATIDAE,ANHINGIDAE,ANSERANATIDAE,APODIDAE,ARDEIDAE,ARTAMIDAE,ATRICHORNITHIDAE,BUCEROTIDAE,BURHINIDAE,CACATUIDAE,CALYPTOMENIDAE,CAMPEPHAGIDAE,CAPRIMULGIDAE,CASUARIIDAE,CHARADRIIDAE,CHLOROPSEIDAE,CICONIIDAE,CINCLOSOMATIDAE,CISTICOLIDAE,CLIMACTERIDAE,CNEMOPHILIDAE,COLUMBIDAE,CORACIIDAE,CORCORACIDAE,CORVIDAE,CUCULIDAE,DASYORNITHIDAE,DICAEIDAE,DICRURIDAE,DIOMEDEIDAE,DROMADIDAE,EMBERIZIDAE,ESTRILDIDAE,EULACESTOMATIDAE,EUPETIDAE,EURYLAIMIDAE,FALCONIDAE,FALCUNCULIDAE,FREGATIDAE,FRINGILLIDAE,GLAREOLIDAE,GRUIDAE,HAEMATOPODIDAE,HELIORNITHIDAE,HEMIPROCNIDAE,HIRUNDINIDAE,HYDROBATIDAE,HYLOCITREIDAE,IFRITIDAE,INDICATORIDAE,IRENIDAE,JACANIDAE,LANIIDAE,LARIDAE,LEIOTHRICHIDAE,LOCUSTELLIDAE,MACHAERIRHYNCHIDAE,MALURIDAE,MEGALAIMIDAE,MEGAPODIIDAE,MELAMPITTIDAE,MELANOCHARITIDAE,MELIPHAGIDAE,MENURIDAE,MEROPIDAE,MONARCHIDAE,MOTACILLIDAE,MUSCICAPIDAE,NECTARINIIDAE,NEOSITTIDAE,NUMIDIDAE,OCEANITIDAE,OREOICIDAE,ORIOLIDAE,ORTHONYCHIDAE,OTIDIDAE,PACHYCEPHALIDAE,PANDIONIDAE,PARADISAEIDAE,PARAMYTHIIDAE,PARDALOTIDAE,PARIDAE,PASSERIDAE,PEDIONOMIDAE,PELECANIDAE,PELLORNEIDAE,PETROICIDAE,PHAETHONTIDAE,PHALACROCORACIDAE,PHASIANIDAE,PHYLLOSCOPIDAE,PICIDAE,PITTIDAE,PITYRIASIDAE,PLATYLOPHIDAE,PLOCEIDAE,PNOEPYGIDAE,PODARGIDAE,PODICIPEDIDAE,POMATOSTOMIDAE,PROCELLARIIDAE,PSITTACULIDAE,PSOPHODIDAE,PTILONORHYNCHIDAE,PYCNONOTIDAE,RALLIDAE,RECURVIROSTRIDAE,RHAGOLOGIDAE,RHIPIDURIDAE,RHYNOCHETIDAE,ROSTRATULIDAE,SCOLOPACIDAE,SCOTOCERCIDAE,SITTIDAE,SPHENISCIDAE,STENOSTIRIDAE,STERCORARIIDAE,STRIGIDAE,STRIGOPIDAE,STRUTHIONIDAE,STURNIDAE,SULIDAE,SYLVIIDAE,THRESKIORNITHIDAE,TIMALIIDAE,TROGONIDAE,TURDIDAE,TURNICIDAE,TYTONIDAE,VANGIDAE,VIREONIDAE,ZOSTEROPIDAE
AUSTRALIA,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1
WMNG,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1
EMNG,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1
MALUKU,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1
SULAWESI,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1
PHILLIPPINES,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1
LESS_SUN,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1
BORNEO,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1
JAVA,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
SUMATRA,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
SEA,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
